Complex_Name,Protein,Ligand,Delta_G (kcal/mol),Closest_Cys_ID,Distance_to_CHO (A)
A4_25_hexadecanal,A4.pdb,25_hexadecanal.sdf,-5.43,319,12.676
A4_27_Benzaldehyde,A4.pdb,27_Benzaldehyde.sdf,-5.43,319,3.235
A5_16_octanaldehyde,A5.pdb,16_octanaldehyde.sdf,-5.43,86,7.0
A5_22_trans-2-Octenal,A5.pdb,22_trans-2-Octenal.sdf,-5.43,86,7.937
A4_11_prop-2-enal,A4.pdb,11_prop-2-enal.sdf,-5.43,319,3.673
A4_13_(2E)-but-2-enal,A4.pdb,13_(2E)-but-2-enal.sdf,-5.43,319,2.85
A3_46_Succinic semialdehyde,A3.pdb,46_Succinic semialdehyde.sdf,-5.43,314,2.724
A2_11_prop-2-enal,A2.pdb,11_prop-2-enal.sdf,-5.43,282,3.094
A2_55_Ethanol,A2.pdb,55_Ethanol.sdf,-5.43,282,3.798
A2_8_hexanal,A2.pdb,8_hexanal.sdf,-5.43,282,4.92
A2_59_4-Hydroxynonenal_glutathione,A2.pdb,59_4-Hydroxynonenal_glutathione.sdf,-5.43,435,9.646
A1_28_Phenylacetaldehyde,A1.pdb,28_Phenylacetaldehyde.sdf,-5.43,163,16.611
A7_36_3-(4-Isopropylphenyl)-2-methylpropanal,A7.pdb,36_3-(4-Isopropylphenyl)-2-methylpropanal.sdf,-5.43,319,3.769
"A7_38_(2R)-2-[(2S,3R,4S)-3,4-Dihydroxy-5-oxo -tetrahydrofuran-2-yl]-2-hydroxy-acetaldehyde",A7.pdb,"38_(2R)-2-[(2S,3R,4S)-3,4-Dihydroxy-5-oxo -tetrahydrofuran-2-yl]-2-hydroxy-acetaldehyde.sdf",-5.43,319,7.828
A7_46_Succinic semialdehyde,A7.pdb,46_Succinic semialdehyde.sdf,-5.43,319,3.529
A7_9_2-hydroxypropionaldehyde,A7.pdb,9_2-hydroxypropionaldehyde.sdf,-5.43,319,2.691
A6_4_malonaldehyde,A6.pdb,4_malonaldehyde.sdf,-5.42,466,2.945
A6_1_formaldehyde,A6.pdb,1_formaldehyde.sdf,-5.42,466,2.886
"A3_38_(2R)-2-[(2S,3R,4S)-3,4-Dihydroxy-5-oxo -tetrahydrofuran-2-yl]-2-hydroxy-acetaldehyde",A3.pdb,"38_(2R)-2-[(2S,3R,4S)-3,4-Dihydroxy-5-oxo -tetrahydrofuran-2-yl]-2-hydroxy-acetaldehyde.sdf",-5.42,314,5.052
A3_37_thiobenzaldehyde,A3.pdb,37_thiobenzaldehyde.sdf,-5.42,,
A3_36_3-(4-Isopropylphenyl)-2-methylpropanal,A3.pdb,36_3-(4-Isopropylphenyl)-2-methylpropanal.sdf,-5.42,314,4.937
A3_34_4-hydroxy-2-nonenal,A3.pdb,34_4-hydroxy-2-nonenal.sdf,-5.42,314,5.291
A3_23_4-Hydroxynonenal,A3.pdb,23_4-Hydroxynonenal.sdf,-5.42,314,4.64
A2_18_decanal,A2.pdb,18_decanal.sdf,-5.42,281,7.301
A2_3_propylaldehyde,A2.pdb,3_propylaldehyde.sdf,-5.42,282,3.273
A5_55_Ethanol,A5.pdb,55_Ethanol.sdf,-5.42,86,8.438
A7_25_hexadecanal,A7.pdb,25_hexadecanal.sdf,-5.42,318,6.327
A6_41_Indole-3-acetaldehyde,A6.pdb,41_Indole-3-acetaldehyde.sdf,-5.42,466,5.772
"A4_31_(2E,4E,6E,8E)-3,7-dimethyl-9-(2,6,6-trimethylcyclohexen-1-yl)nona-2,4,6,8-tetraenal",A4.pdb,"31_(2E,4E,6E,8E)-3,7-dimethyl-9-(2,6,6-trimethylcyclohexen-1-yl)nona-2,4,6,8-tetraenal.sdf",-5.42,318,7.074
A4_28_Phenylacetaldehyde,A4.pdb,28_Phenylacetaldehyde.sdf,-5.42,179,16.62
A5_9_2-hydroxypropionaldehyde,A5.pdb,9_2-hydroxypropionaldehyde.sdf,-5.42,86,7.893
A5_60_S-Formylglutathione,A5.pdb,60_S-Formylglutathione.sdf,-5.42,86,7.229
A5_56_S-hydroxy-methylglutathione,A5.pdb,56_S-hydroxy-methylglutathione.sdf,-5.42,86,5.962
A3_21_cis-2-Octenal,A3.pdb,21_cis-2-Octenal.sdf,-5.42,314,2.658
A4_21_cis-2-Octenal,A4.pdb,21_cis-2-Octenal.sdf,-5.42,319,2.493
A4_16_octanaldehyde,A4.pdb,16_octanaldehyde.sdf,-5.42,318,5.342
A1_7_glutaraldehyde,A1.pdb,7_glutaraldehyde.sdf,-5.42,303,2.73
A7_45_adipate semialdehyde,A7.pdb,45_adipate semialdehyde.sdf,-5.42,318,3.644
A3_8_hexanal,A3.pdb,8_hexanal.sdf,-5.42,313,4.632
A3_7_glutaraldehyde,A3.pdb,7_glutaraldehyde.sdf,-5.42,314,3.579
A3_6_amylaldehyde,A3.pdb,6_amylaldehyde.sdf,-5.42,314,4.261
A3_5_butyraldehyde,A3.pdb,5_butyraldehyde.sdf,-5.42,314,4.272
"A5_30_(E)-3-(3,4-Dihydroxyphenyl)prop-2-enal",A5.pdb,"30_(E)-3-(3,4-Dihydroxyphenyl)prop-2-enal.sdf",-5.42,86,6.66
A7_1_formaldehyde,A7.pdb,1_formaldehyde.sdf,-5.42,319,2.535
A1_2_acetaldehyde,A1.pdb,2_acetaldehyde.sdf,-5.42,303,2.821
A1_8_hexanal,A1.pdb,8_hexanal.sdf,-5.42,303,4.04
A4_24_Tetradecanal,A4.pdb,24_Tetradecanal.sdf,-5.42,319,1.861
A2_29_Salicylaldehyde,A2.pdb,29_Salicylaldehyde.sdf,-5.42,282,3.643
A2_26_trans-2-hexadecenal,A2.pdb,26_trans-2-hexadecenal.sdf,-5.42,281,7.235
A1_21_cis-2-Octenal,A1.pdb,21_cis-2-Octenal.sdf,-5.42,303,2.853
A1_20_Citral,A1.pdb,20_Citral.sdf,-5.42,302,4.758
A1_5_butyraldehyde,A1.pdb,5_butyraldehyde.sdf,-5.42,303,3.636
A1_55_Ethanol,A1.pdb,55_Ethanol.sdf,-5.42,303,3.58
A1_46_Succinic semialdehyde,A1.pdb,46_Succinic semialdehyde.sdf,-5.42,303,3.981
A1_3_propylaldehyde,A1.pdb,3_propylaldehyde.sdf,-5.42,303,3.282
A1_37_thiobenzaldehyde,A1.pdb,37_thiobenzaldehyde.sdf,-5.42,,
A2_56_S-hydroxy-methylglutathione,A2.pdb,56_S-hydroxy-methylglutathione.sdf,-5.42,281,6.134
A2_47_methylmalonate semialdehyde,A2.pdb,47_methylmalonate semialdehyde.sdf,-5.42,282,2.757
A2_46_Succinic semialdehyde,A2.pdb,46_Succinic semialdehyde.sdf,-5.42,282,2.585
A2_44_glutarate semialdehyde,A2.pdb,44_glutarate semialdehyde.sdf,-5.42,282,3.821
A4_4_malonaldehyde,A4.pdb,4_malonaldehyde.sdf,-5.42,319,3.514
A3_19_dodecanal,A3.pdb,19_dodecanal.sdf,-5.42,313,6.163
A3_18_decanal,A3.pdb,18_decanal.sdf,-5.42,313,4.887
A3_14_trans-2-Hexenal,A3.pdb,14_trans-2-Hexenal.sdf,-5.42,313,5.187
A2_7_glutaraldehyde,A2.pdb,7_glutaraldehyde.sdf,-5.42,282,3.65
A2_5_butyraldehyde,A2.pdb,5_butyraldehyde.sdf,-5.42,282,4.29
A4_12_prop-2-ynal,A4.pdb,12_prop-2-ynal.sdf,-5.42,319,2.402
A3_12_prop-2-ynal,A3.pdb,12_prop-2-ynal.sdf,-5.42,314,2.669
A1_27_Benzaldehyde,A1.pdb,27_Benzaldehyde.sdf,-5.42,303,3.88
A1_26_trans-2-hexadecenal,A1.pdb,26_trans-2-hexadecenal.sdf,-5.42,163,17.506
A1_13_(2E)-but-2-enal,A1.pdb,13_(2E)-but-2-enal.sdf,-5.42,303,3.87
A1_12_prop-2-ynal,A1.pdb,12_prop-2-ynal.sdf,-5.42,303,2.821
A7_12_prop-2-ynal,A7.pdb,12_prop-2-ynal.sdf,-5.42,319,2.648
A7_21_cis-2-Octenal,A7.pdb,21_cis-2-Octenal.sdf,-5.42,319,2.271
A1_17_nonanal,A1.pdb,17_nonanal.sdf,-5.42,163,17.149
A2_14_trans-2-Hexenal,A2.pdb,14_trans-2-Hexenal.sdf,-5.42,282,6.039
A5_20_Citral,A5.pdb,20_Citral.sdf,-5.42,86,5.622
A4_7_glutaraldehyde,A4.pdb,7_glutaraldehyde.sdf,-5.42,319,4.138
A4_15_heptanal,A4.pdb,15_heptanal.sdf,-5.42,179,16.744
A5_14_trans-2-Hexenal,A5.pdb,14_trans-2-Hexenal.sdf,-5.42,86,8.309
A3_45_adipate semialdehyde,A3.pdb,45_adipate semialdehyde.sdf,-5.42,314,4.503
A2_9_2-hydroxypropionaldehyde,A2.pdb,9_2-hydroxypropionaldehyde.sdf,-5.42,282,2.492
"A5_31_(2E,4E,6E,8E)-3,7-dimethyl-9-(2,6,6-trimethylcyclohexen-1-yl)nona-2,4,6,8-tetraenal",A5.pdb,"31_(2E,4E,6E,8E)-3,7-dimethyl-9-(2,6,6-trimethylcyclohexen-1-yl)nona-2,4,6,8-tetraenal.sdf",-5.42,86,6.636
A5_32_9-cis-Retinal,A5.pdb,32_9-cis-Retinal.sdf,-5.42,86,7.056
A1_23_4-Hydroxynonenal,A1.pdb,23_4-Hydroxynonenal.sdf,-5.41,302,4.175
A2_25_hexadecanal,A2.pdb,25_hexadecanal.sdf,-5.41,281,5.946
A4_22_trans-2-Octenal,A4.pdb,22_trans-2-Octenal.sdf,-5.41,318,5.837
A7_11_prop-2-enal,A7.pdb,11_prop-2-enal.sdf,-5.41,319,3.607
A4_1_formaldehyde,A4.pdb,1_formaldehyde.sdf,-5.41,319,2.372
